missing,method,mean,std,min,max,median
0.25,rmean,1.4141082427535798,0.7551264453786751,0.3646189309538269,5.174271406571952,1.3016786888535863
0.25,last,0.29624087049606895,0.016358568912205176,0.24110885602955145,0.3521222095371158,0.2965987707591135
0.25,next,0.38875521525153306,0.034401409605313155,0.30466052129218313,0.5079982350516037,0.3880623618829941
0.25,linear_interp,0.27470974423222055,0.023781563678021905,0.20810902312455026,0.34970501505176754,0.2736535396861902
0.25,quadratic_interp,0.7843257376296318,0.6475899134095751,0.26867535053619895,3.700107308708704,0.3684340602391561
0.25,spline,2.4804224437006122e+23,5.485282070687336e+24,0.28234538681927873,1.227736370555576e+26,0.3726461526634437
0.25,knn,0.2741315965952347,0.02326282565403958,0.20615373957071817,0.34386357143467633,0.27332562662391924
0.25,kalman,0.27976851965771204,0.02165922124941449,0.22563738450114426,0.3430940762029097,0.27867660988895376
0.25,matrix_estimation,0.3319281649809961,0.028462791295901294,0.26826329326201814,0.44048196661872063,0.330341689940191
0.25,arima,0.2975930143560256,0.03180551471607325,0.23821041169435855,0.4568452142956646,0.2931698111674591
